"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/StudentAppBar/StudentAppBar.jsx", "JavaScript", 114, 0, 0, 0, 11, 125
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/StudentAppBar/StudentAppBarStyles.js", "JavaScript", 24, 0, 0, 0, 4, 28
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/StudentInvite/StudentInvite.jsx", "JavaScript", 136, 0, 0, 0, 20, 156
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/StudentInvite/StudentInviteStyles.js", "JavaScript", 27, 0, 0, 3, 4, 34
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/StudentListItem/StudentListItem.jsx", "JavaScript", 22, 0, 0, 0, 4, 26
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/StudentLogin/StudentLogin.jsx", "JavaScript", 85, 0, 0, 0, 9, 94
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/StudentLogin/StudentLoginStyles.js", "JavaScript", 22, 0, 0, 2, 4, 28
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/StudentMeetings/StudentMeetings.jsx", "JavaScript", 180, 0, 0, 0, 21, 201
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/StudentMeetings/studentMeetingsStyles.js", "JavaScript", 36, 0, 0, 0, 3, 39
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/StudentProfile/StudentProfile.jsx", "JavaScript", 184, 0, 0, 0, 16, 200
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/StudentProfile/StudentProfileStyles.js", "JavaScript", 51, 0, 0, 2, 3, 56
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/SubscriptionListItem/SubscriptionListItem.jsx", "JavaScript", 29, 0, 0, 0, 5, 34
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/TeacherAppBar/TeacherAppBar.jsx", "JavaScript", 56, 0, 0, 0, 7, 63
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/TeacherAppBar/TeacherAppBarStyles.js", "JavaScript", 25, 0, 0, 0, 5, 30
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/TeacherColorDialog/TeacherColorDialog.jsx", "JavaScript", 69, 0, 0, 0, 6, 75
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/TeacherColorDialog/TeacherColorDialogStyles.js", "JavaScript", 19, 0, 0, 0, 4, 23
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/TeacherCreator/TeacherCreator.jsx", "JavaScript", 69, 0, 0, 0, 7, 76
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/TeacherCreator/TeacherCreatorStyles.js", "JavaScript", 22, 0, 0, 1, 4, 27
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/TeacherDashboard/TeacherDashboard.jsx", "JavaScript", 58, 0, 0, 0, 12, 70
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/TeacherDashboard/teacherDashboardStyles.js", "JavaScript", 13, 0, 0, 0, 5, 18
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/TeacherInvite/TeacherInvite.jsx", "JavaScript", 29, 0, 0, 0, 3, 32
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/TeacherInvite/TeacherInviteStyles.js", "JavaScript", 21, 0, 0, 3, 3, 27
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/TeacherLogin/TeacherLogin.jsx", "JavaScript", 36, 0, 0, 0, 2, 38
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/TeacherLogin/TeacherLoginStyles.js", "JavaScript", 22, 0, 0, 2, 2, 26
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/TeacherMeetingItem/TeacherMeetingItem.jsx", "JavaScript", 60, 0, 0, 0, 5, 65
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/TeacherMeetingItem/teacherMeetingItemsStyles.js", "JavaScript", 22, 0, 0, 0, 3, 25
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/TeacherMeetingTopic/TeacherMeetingTopic.jsx", "JavaScript", 60, 0, 0, 0, 10, 70
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/TeacherSubscriptions/TeacherSubscriptions.jsx", "JavaScript", 130, 0, 0, 0, 16, 146
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/TeacherSubscriptions/teacherSubscriptionStyles.js", "JavaScript", 36, 0, 0, 0, 3, 39
"/Users/paulstevens/Developer/alchezoomy2-fe/src/components/TranscriptBox/TranscriptBox.jsx", "JavaScript", 194, 0, 0, 23, 23, 240
"/Users/paulstevens/Developer/alchezoomy2-fe/src/containers/Admin/Admin.jsx", "JavaScript", 69, 0, 0, 0, 11, 80
"/Users/paulstevens/Developer/alchezoomy2-fe/src/containers/Admin/AdminStyles.js", "JavaScript", 7, 0, 0, 0, 3, 10
"/Users/paulstevens/Developer/alchezoomy2-fe/src/containers/LandingPage/LandingPage.jsx", "JavaScript", 48, 0, 0, 0, 4, 52
"/Users/paulstevens/Developer/alchezoomy2-fe/src/containers/LandingPage/LandingPageStyles.js", "JavaScript", 20, 0, 0, 0, 4, 24
"/Users/paulstevens/Developer/alchezoomy2-fe/src/containers/Student/Student.jsx", "JavaScript", 80, 0, 0, 1, 18, 99
"/Users/paulstevens/Developer/alchezoomy2-fe/src/containers/Student/StudentStyles.js", "JavaScript", 6, 0, 0, 0, 2, 8
