"filename", "language", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/paulstevens/Developer/alchezoomy2-fe/src/styles/landingPage.js", "JavaScript", 0, 21, 0, 3, 3, 27
"/Users/paulstevens/Developer/alchezoomy2-fe/src/styles/meetingDetails.js", "JavaScript", 0, 20, 0, 5, 2, 27
"/Users/paulstevens/Developer/alchezoomy2-fe/src/styles/meetingListItemStyles.js", "JavaScript", 0, 8, 0, 0, 2, 10
"/Users/paulstevens/Developer/alchezoomy2-fe/src/styles/studentMeetings.js", "JavaScript", 0, 44, 0, 0, 4, 48
"/Users/paulstevens/Developer/alchezoomy2-fe/src/styles/teacherDashboardStyles.js", "JavaScript", 0, 17, 0, 0, 4, 21
"/Users/paulstevens/Developer/alchezoomy2-fe/src/styles/teacherMeetingItemsStyles.js", "JavaScript", 0, 7, 0, 0, 2, 9
"/Users/paulstevens/Developer/alchezoomy2-fe/src/styles/teacherSubscriptionStyles.js", "JavaScript", 0, 33, 0, 0, 3, 36
"/Users/paulstevens/Developer/alchezoomy2-fe/src/styles/theme.js", "JavaScript", 0, 20, 0, 0, 1, 21
"/Users/paulstevens/Developer/alchezoomy2-fe/src/temp.css", "CSS", 0, 0, 20, 0, 4, 24
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/admin-fetches/auth-fetches.js", "JavaScript", 0, 23, 0, 0, 9, 32
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/admin-fetches/student-fetches.js", "JavaScript", 0, 21, 0, 0, 9, 30
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/admin-fetches/teacher-fetches.js", "JavaScript", 0, 21, 0, 0, 9, 30
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/student-fetches/auth-fetches.js", "JavaScript", 0, 23, 0, 0, 7, 30
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/student-fetches/bookmark-fetches.js", "JavaScript", 0, 21, 0, 0, 6, 27
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/student-fetches/favorite-fetches.js", "JavaScript", 0, 21, 0, 0, 5, 26
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/student-fetches/meeting-fetches.js", "JavaScript", 0, 14, 0, 0, 4, 18
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/teacher-fetches/auth-fetches.js", "JavaScript", 0, 16, 0, 0, 6, 22
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/teacher-fetches/meeting-fetches.js", "JavaScript", 0, 28, 0, 0, 11, 39
"/Users/paulstevens/Developer/alchezoomy2-fe/src/utils/teacher-fetches/subscription-fetches.js", "JavaScript", 0, 24, 0, 0, 6, 30
"Total", "-", 7, 3119, 32, 114, 508, 3780
